,amount,aot_0_max,aot_0_mean,aot_0_min,aot_0_std,ncs_412_max,ncs_412_mean,ncs_412_min,ncs_412_std,ncs_443_max,ncs_443_mean,ncs_443_min,ncs_443_std,ncs_469_max,ncs_469_mean,ncs_469_min,ncs_469_std,ncs_488_max,ncs_488_mean,ncs_488_min,ncs_488_std,ncs_531_max,ncs_531_mean,ncs_531_min,ncs_531_std,ncs_547_max,ncs_547_mean,ncs_547_min,ncs_547_std,ncs_555_max,ncs_555_mean,ncs_555_min,ncs_555_std,ncs_645_max,ncs_645_mean,ncs_645_min,ncs_645_std,ncs_667_max,ncs_667_mean,ncs_667_min,ncs_667_std,ncs_678_max,ncs_678_mean,ncs_678_min,ncs_678_std,nsst_0_max,nsst_0_mean,nsst_0_min,nsst_0_std,sst_0_max,sst_0_mean,sst_0_min,sst_0_std,aot_0_raw_ippa_mean,ncs_412_raw_ippa_mean,ncs_443_raw_ippa_mean,ncs_469_raw_ippa_mean,ncs_488_raw_ippa_mean,ncs_531_raw_ippa_mean,ncs_547_raw_ippa_mean,ncs_555_raw_ippa_mean,ncs_645_raw_ippa_mean,ncs_667_raw_ippa_mean,ncs_678_raw_ippa_mean,nsst_0_raw_ippa_mean,sst_0_raw_ippa_mean,aot_0_raw_ippa_std,ncs_412_raw_ippa_std,ncs_443_raw_ippa_std,ncs_469_raw_ippa_std,ncs_488_raw_ippa_std,ncs_531_raw_ippa_std,ncs_547_raw_ippa_std,ncs_555_raw_ippa_std,ncs_645_raw_ippa_std,ncs_667_raw_ippa_std,ncs_678_raw_ippa_std,nsst_0_raw_ippa_std,sst_0_raw_ippa_std,aot_0_raw_ippa_mean_ippa_std,ncs_412_raw_ippa_mean_ippa_std,ncs_443_raw_ippa_mean_ippa_std,ncs_469_raw_ippa_mean_ippa_std,ncs_488_raw_ippa_mean_ippa_std,ncs_531_raw_ippa_mean_ippa_std,ncs_547_raw_ippa_mean_ippa_std,ncs_555_raw_ippa_mean_ippa_std,ncs_645_raw_ippa_mean_ippa_std,ncs_667_raw_ippa_mean_ippa_std,ncs_678_raw_ippa_mean_ippa_std,nsst_0_raw_ippa_mean_ippa_std,sst_0_raw_ippa_mean_ippa_std,diff_amount,change_amount
2019.01.12,0,241,92.2807825086,1,77.6308637329,241,106.666796154,1,87.7218613931,241,53.3439127918,1,53.0523468833,241,94.3822348448,1,88.3952920698,241,120.795604396,1,84.7454175449,241,117.785776767,1,81.7615959333,241,107.407740152,1,67.3271696791,241,83.3207598743,1,65.5123458299,241,56.7049328707,1,33.5042317001,241,7.30402131783,1,27.9509513524,241,79.9728604729,1,30.9929594023,241,97.2552020258,16,84.5196401679,241,93.7014477534,16,81.659539438,27.725128463523966,138.39540541567936,124.60483375359546,110.51668641265094,102.38310007729444,87.0922892459357,85.57498669521915,87.70088793573157,114.17647049506456,124.47819599842877,127.44883361421203,162.7268404148198,164.8155263521448,15.546536762398638,21.287151348987294,19.080798103946805,20.118146667646194,20.773278350791998,22.467619951766267,22.771661177789483,22.511469007440844,20.683063183570244,20.237769453276034,20.042529174507187,13.263692366968241,12.358625110391014,0.6589538740164719,3.2770293535966646,1.1062624836807164,1.539174198454425,1.6315067827761458,0.9945754281229526,0.9998511882005319,1.0023971330815953,3.216066664096636,3.3897733903673064,3.27830707276928,3.1547413728416833,3.1022321688834698,0,0
2018.05.05,6,241,104.265359477,1,88.3208436011,241,67.5127604167,1,57.864121941,241,90.7777496199,1,87.9991736219,241,103.369769211,1,95.9289682428,241,78.0870265915,1,58.9722839323,241,14.1931653635,1,30.5226988629,241,17.2895939086,1,31.4686233762,241,65.9571263036,1,38.4381553763,161,36.3793416572,1,36.8993265478,193,91.112964527,16,70.1487087215,241,76.1448157669,16,50.3685519443,241,96.7075518089,16,77.4871676781,241,77.9111241907,1,67.4634127065,31.797758702482074,164.52637910509216,145.83534340007697,129.618870221355,119.7329687346157,114.34142551534626,112.21715344474181,115.21763142112943,164.11731366529122,175.94548204903285,178.6351518514872,166.38618866197444,170.60416012126046,15.13029675828357,27.656614675350056,27.339782404539605,24.230464372546273,22.33159989931055,18.888908115153043,19.371650609928032,19.26542759086646,22.9179221689779,21.430204008072547,20.54592408651103,9.992900197841506,10.017100777207796,1.055176208445508,3.9168490070862054,3.325051476201055,2.7139743099783353,2.134328591776928,2.0681287149880223,2.0595018135848813,2.1721839580994247,2.8265513033233836,2.762304436828473,2.2694796156294355,1.7338093183070495,2.038165744084443,2,1
2015.05.07,1,241,84.0165509877,1,75.9301477644,241,59.6169772257,1,57.8687051952,241,118.09483667,1,94.2635112429,241,86.5882043181,1,68.8855006819,241,43.7728832952,1,47.1700805151,241,69.283446712,1,72.6751472484,241,117.297297297,1,100.206771432,241,81.5121827411,1,84.4953553754,241,28.9257744009,16,43.4385945693,241,122.27044335,16,33.683549994,241,51.2061403509,16,57.2759779462,241,101.877457238,16,92.3443316063,241,90.9409871245,1,83.1981360404,36.32412650502757,176.27998666439316,156.86573792478615,139.54691003300817,130.1573830653063,116.69255318336714,113.5213000689685,117.58710602851212,169.20426128627525,180.24515375394787,182.4200614354101,170.25715624065407,174.97044113323213,14.380793429932737,26.520215130270348,24.71950623529978,21.956560667747336,20.184365163993665,19.429543725070346,19.597385245964063,19.493865764245786,26.831456411723362,25.36058768635596,24.84967759395013,8.102001260813855,7.656410565168323,1.4420955812099678,4.249182095793785,4.474657039353116,4.096685623817395,3.941265280889327,2.2515903662443932,1.8321766830891941,2.1088018643181194,4.07018880363882,3.883020357924172,3.549807266070494,2.1576950846424907,2.266445657232945,0,0
2016.03.09,0,241,96.0630393996,1,85.7132122268,241,95.136129507,1,82.427392698,241,80.541682243,1,74.5196307384,209,59.0814429156,1,55.2009384773,225,76.3255899705,1,65.2203308604,241,114.562388909,1,83.2422321579,241,97.6922535211,1,76.0153825926,241,118.383428823,1,67.7082196219,225,74.154289004,1,54.4722555682,209,6.49778534923,1,14.053678253,241,26.4102639296,1,30.9178129183,241,118.1921797,16,95.7222360974,241,127.810189443,16,96.6889516846,30.214621672295777,148.12895143595924,131.4871106345892,118.31252437671841,110.88583590275314,100.77752863812992,97.84521044631664,100.30170229940146,133.0367348117997,143.73009936873328,146.42996598896045,155.13329237054165,158.4345050468383,16.34120956322407,23.863407135118766,20.775946728778198,19.484016446192612,19.45291545656886,20.333395786434963,19.958548051026657,20.24993393000585,22.07858763603543,22.445860220628003,22.294022788226425,15.247769075597883,14.480935804063364,0.8087670146087738,2.0064494422107675,1.3529708349985856,1.2582943401514808,1.8874506497404966,1.3347024741001745,0.9611247214140459,0.8911123253343111,1.900972297812306,2.040223297800665,1.8102849516642971,2.3697409566073504,2.231321634361755,-1,-1
2016.01.18,1,241,89.0875688916,1,79.9072199194,241,73.8347058824,1,69.1253105614,241,72.8029020556,1,61.34654741,241,75.9157706093,1,78.472358608,241,120.484505364,1,86.871307202,241,111.149202733,1,78.2191408977,241,94.6035087719,1,71.7052657333,241,110.480825959,1,85.0122223621,241,66.8885644769,16,74.396679547,241,33.4494584838,1,62.071216302,225,80.4722689076,1,47.5622244788,241,82.6605769231,16,69.814129491,241,106.092607636,1,66.936111996,33.89207943499303,147.31098121543928,127.62283667840825,112.61072266555327,104.2000360676111,89.94646311988757,88.29179873488934,90.39162564956004,125.89687015463988,135.68015281690003,138.0162421861677,168.92270285394517,171.83966693117722,15.504567221473682,25.298412101411117,22.520765204136715,22.11737910051725,22.19877162048163,24.72191178372754,25.26120177169086,25.475252938409177,29.100939067134348,28.818332852411118,28.5107103282506,10.070412047818206,9.989165344645007,1.624298818561025,1.5218161536547932,1.2782076743054729,0.9903966990501362,0.8628480582511335,0.8590135230466329,0.8668825189765281,0.8781550137263009,1.8032618087254304,2.0727152585596627,2.1878366139259073,0.5949679594176315,0.654529017858131,-2,-1
2015.06.30,1,193,114.608695652,16,64.5652613087,161,50.0185185185,1,48.6440170813,193,105.923076923,16,69.8090379188,209,87.9487179487,16,67.358569294,177,54.6326530612,16,66.5207329588,161,114.066666667,97,28.3018648777,49,49.0,49,0.0,65,59.3188405797,16,15.6876141983,241,43.0138888889,16,71.527285597,129,129.0,129,0.0,129,129.0,129,0.0,241,77.69017651,1,67.806025133,193,73.3417498532,1,57.9491906024,30.002549902834097,177.61871397863806,163.46991714139324,147.22048332671395,136.74064922583443,123.19713860398558,120.34826991350326,122.44800038806812,171.74560618968647,182.2119155102944,184.70681756857132,177.45972139400203,183.30330870410714,18.04946389550884,31.8101034282179,35.96404385600784,35.54536310796956,34.71018916214285,31.847436840680736,32.589947280731884,32.828472627393296,32.74308544737037,30.555611220803314,29.88796378448983,7.736608566268067,7.935578076377325,1.7638930990761825,2.4861134786942465,2.226867143173266,1.2931351365754902,0.9743095820430494,1.8473119781296223,1.7074701269941202,1.583825985189435,1.8990660736902847,1.9246747733862513,1.783765056594731,1.4835732694087371,1.9007249062066573,0,0
2014.09.10,1,241,87.9168665068,16,83.0466596869,241,77.4232977851,1,75.0463765739,241,82.7253634895,1,78.2573662117,241,98.1060371517,16,86.0446211952,241,95.5048231511,16,84.8004607531,241,100.015841584,1,70.2714943442,241,54.6182152714,1,61.8069416059,241,63.9367977528,1,67.8093012982,161,9.50681818182,1,23.7983946912,193,79.7107843137,16,52.1748538464,193,123.544435548,16,49.667910648,241,58.2577018414,1,56.0863395258,193,53.2831168831,1,49.9901325396,31.738488979716223,179.62634491813077,164.9109414074054,154.62455436244477,134.26456972043704,115.09254080507677,116.62900273253207,119.18224708067373,174.9774779582862,178.08112165783788,180.1093602947108,187.05481185180082,191.51415347403454,14.845178963708381,32.429917423286625,36.22989135501497,32.41841890016144,28.573716989607746,21.092421421014016,20.891645385829207,21.226584755026483,30.221418340876976,31.05162938632884,30.304761178146304,7.777224906653567,7.115930588645709,0.8445011034119244,1.7174968431155608,2.797364472689464,2.1359643082021806,2.79332724589758,2.758625109115446,1.5406638602567284,1.4706860645991309,2.8402778613981114,2.8276207500586197,2.872426433315239,0.507371233160367,0.270767954779464,0,0
2017.12.06,1,241,95.4280656202,1,85.3628756341,241,71.439953271,1,56.9943360196,241,86.5840613932,1,72.1601145429,241,128.531600641,1,100.134399481,241,110.730539584,1,86.3781992938,241,55.2193110647,1,47.3973236248,241,72.3718309859,1,74.8096945349,241,117.017319964,1,84.533583105,241,60.5180878553,1,76.619737102,193,110.002746175,1,77.0115544178,193,26.5589776593,1,27.4171320173,241,83.2049422081,16,82.9994290864,241,88.0273580247,16,75.9216577515,22.524380816436807,142.44914338632506,125.28781988682343,110.15611905033228,101.66412406437476,87.6383354994497,85.78912460530283,87.91020449965598,118.76172479599799,128.0992408254995,130.57694232841402,171.82595369851086,174.04320744188456,13.689009051963296,23.40705952709571,18.135260439262986,16.185875037244184,15.9842134891463,17.227543771865705,17.51140761270299,17.413066438515433,16.484879531408318,16.859863146213197,16.912828197236035,8.548385394121617,8.486589498871894,1.4128311173592807,4.680992327837216,4.1070216719683454,3.1887783898997886,2.594926727306384,2.374439067486215,2.1966492399173996,2.1632991695164066,2.8480161266695436,3.0410008229796746,2.9910495815733977,1.6021908137430518,1.9141277666386929,1,1
2015.09.28,6,241,78.8888888889,1,68.4379079917,241,94.4883268482,1,80.678451334,241,75.4326923077,1,69.6124663381,241,67.0535714286,1,65.5190441473,241,78.0990654206,1,74.8782157599,193,91.227443609,1,58.8028354535,193,104.631578947,1,76.3456754549,193,92.0258964143,1,71.642270115,113,20.8047138047,1,28.6708167891,241,68.1932059448,16,58.0685117405,209,80.3531598513,16,59.1580785024,241,70.3024757804,1,65.4801427127,193,53.9146508444,1,49.5771947382,28.72250189422268,174.68806734310556,166.88789457075276,146.85980307289663,128.79006527357524,115.88062488600404,112.35640273648188,111.06082065214726,171.71286337566985,184.36501576401173,180.2563839125893,186.47569331453977,192.27098549392537,15.120128832222438,31.202228984511844,30.500057584830824,26.474141812732064,23.113198598624898,19.620966971661737,20.368038233145395,20.142393522190506,24.707090800542346,22.493798693808177,22.180314413046478,6.946795506338739,6.318454361247975,0.5380063481427734,1.1050799695031808,2.2381481081959547,1.6412363735490907,1.310072148212696,0.7041943202767671,0.6544270753796531,0.8198558114165548,1.5017111950202722,1.3618220887599717,1.3463303998530918,0.47461257483712976,0.40466960813459146,2,1
2015.02.12,0,241,91.2000936476,16,72.191120661,241,78.5070572166,1,73.1366960719,241,98.5782084541,1,86.5412931327,241,60.2459396752,1,53.0999305341,241,85.6373608903,1,65.5532063662,241,112.778094153,1,57.2252035076,241,111.122883196,1,61.6228081455,241,92.1245445081,1,82.9156086236,241,88.7259020837,1,41.7696597296,241,49.6509433962,1,63.9397326422,241,196.783034258,1,78.4524309437,241,97.6577972843,16,88.5276890124,241,88.5135390801,16,89.221843677,27.421111559561716,151.6049167536152,136.4542613027199,116.68792396760432,107.4332279985291,92.03932406353604,89.1981365605446,91.34428785401015,122.6895936787159,134.1596285677556,137.43274666730446,157.94983504802337,161.1173652562939,15.307051845411054,24.03200464848696,20.03445113545704,19.630608904960535,19.50623428422761,20.117085297788257,19.85367586357031,19.474771850600057,19.19954071399447,19.713555135513413,20.021836656442005,14.047465675228246,13.26960794567626,1.3967379859323004,1.6515123964172143,3.1408486878105086,1.621571664406876,1.522988522955474,1.6353934255607987,1.072110753493932,1.0069860808317221,1.0927070051538446,1.1357209902466843,2.9750699682862485,1.3885602402787756,1.8196014518032346,-1,-1
